model,style,few_shot,n,balanced_accuracy,ci_low,ci_high,accuracy,auc,f1,fpr,fnr,mean_overall,file
claude-opus-4.7,default,0,49,0.8400000000000001,0.7391304347826086,0.9318181818181819,0.8367346938775511,0.9308333333333333,0.8095238095238095,0.0,0.32,4.918367346938775,metrics_claude-opus-4.7__default__fs0.json
claude-sonnet-4.6,default,0,60,0.8166666666666667,0.7149321266968325,0.9097222222222223,0.8166666666666667,0.9444444444444444,0.8307692307692307,0.26666666666666666,0.1,5.533333333333333,metrics_claude-sonnet-4.6__default__fs0.json
deepseek-chat,cot,0,60,0.5166666666666667,0.5,0.5540540540540541,0.5166666666666667,0.6783333333333333,0.6741573033707865,0.9666666666666667,0.0,7.15,metrics_deepseek-chat__cot__fs0.json
deepseek-chat,cot,2,60,0.5,0.5,0.5,0.5,0.6611111111111111,0.6666666666666666,1.0,0.0,7.15,metrics_deepseek-chat__cot__fs2.json
deepseek-chat,default,0,59,0.5,0.5,0.5,0.4915254237288136,0.7413793103448276,0.6590909090909091,1.0,0.0,7.47457627118644,metrics_deepseek-chat__default__fs0.json
deepseek-chat,default,2,60,0.5166666666666667,0.5,0.5540540540540541,0.5166666666666667,0.6788888888888889,0.6741573033707865,0.9666666666666667,0.0,7.416666666666667,metrics_deepseek-chat__default__fs2.json
deepseek-chat,plain,0,60,0.5,0.5,0.5,0.5,0.6944444444444444,0.6666666666666666,1.0,0.0,6.9,metrics_deepseek-chat__plain__fs0.json
deepseek-chat,plain,2,60,0.5166666666666667,0.5,0.5540540540540541,0.5166666666666667,0.5822222222222222,0.6741573033707865,0.9666666666666667,0.0,6.816666666666666,metrics_deepseek-chat__plain__fs2.json
deepseek-chat,rubric_first,0,60,0.5,0.5,0.5,0.5,0.6055555555555555,0.6666666666666666,1.0,0.0,7.433333333333334,metrics_deepseek-chat__rubric_first__fs0.json
deepseek-chat,rubric_first,2,60,0.5,0.453125,0.5472747497219133,0.5,0.7333333333333333,0.6590909090909091,0.9666666666666667,0.03333333333333333,7.166666666666667,metrics_deepseek-chat__rubric_first__fs2.json
deepseek-chat,strict_gatekeeper,0,60,0.55,0.44909502262443435,0.6464646464646464,0.55,0.6683333333333333,0.6582278481012658,0.7666666666666667,0.13333333333333333,6.533333333333333,metrics_deepseek-chat__strict_gatekeeper__fs0.json
deepseek-chat,strict_gatekeeper,2,60,0.5666666666666667,0.4932659932659933,0.6428571428571428,0.5666666666666667,0.7211111111111111,0.6904761904761905,0.8333333333333334,0.03333333333333333,6.5,metrics_deepseek-chat__strict_gatekeeper__fs2.json
deepseek-chat,terse,0,60,0.5,0.5,0.5,0.5,0.6294444444444445,0.6666666666666666,1.0,0.0,7.716666666666667,metrics_deepseek-chat__terse__fs0.json
deepseek-chat,terse,2,60,0.5,0.5,0.5,0.5,0.59,0.6666666666666666,1.0,0.0,7.416666666666667,metrics_deepseek-chat__terse__fs2.json
